NodeID1	NodeID2	CE
FE	FR	0.97507
A-velocity	FR	-0.32487
A-velocity	FE	-0.27773
TDE	FR	-0.2714
TDE	FE	-0.1718
TDE	A-velocity	0.6127
Sa lat (cm/s)	FR	0.59933
Sa lat (cm/s)	FE	0.5328
Sa lat (cm/s)	A-velocity	-0.3291
Sa lat (cm/s)	TDE	-0.4423
Aortic diameter	FR	-0.70243
Aortic diameter	FE	-0.6865
Aortic diameter	A-velocity	0.78787
Aortic diameter	TDE	0.60197
Aortic diameter	Sa lat (cm/s)	-0.56593
DTDVG	FR	-0.82877
DTDVG	FE	-0.8032
DTDVG	A-velocity	0.6554
DTDVG	TDE	0.5896
DTDVG	Sa lat (cm/s)	-0.6977
DTDVG	Aortic diameter	0.92257
DTSVG (mm)	FR	-0.92593
DTSVG (mm)	FE	-0.92187
DTSVG (mm)	A-velocity	0.528
DTSVG (mm)	TDE	0.4138
DTSVG (mm)	Sa lat (cm/s)	-0.6549
DTSVG (mm)	Aortic diameter	0.87313
DTSVG (mm)	DTDVG	0.96083
PP (mm)	FR	-0.63317
PP (mm)	FE	-0.56243
PP (mm)	A-velocity	0.7964
PP (mm)	TDE	0.75493
PP (mm)	Sa lat (cm/s)	-0.52183
PP (mm)	Aortic diameter	0.8363
PP (mm)	DTDVG	0.8402
PP (mm)	DTSVG (mm)	0.74813
Sep (mm)	FR	-0.3888
Sep (mm)	FE	-0.3133
Sep (mm)	A-velocity	0.69877
Sep (mm)	TDE	0.7627
Sep (mm)	Sa lat (cm/s)	-0.5571
Sep (mm)	Aortic diameter	0.6918
Sep (mm)	DTDVG	0.7701
Sep (mm)	DTSVG (mm)	0.5844
Sep (mm)	PP (mm)	0.7326
mVG (mg)	FR	-0.66387
mVG (mg)	FE	-0.6098
mVG (mg)	A-velocity	0.773
mVG (mg)	TDE	0.72217
mVG (mg)	Sa lat (cm/s)	-0.6453
mVG (mg)	Aortic diameter	0.8723
mVG (mg)	DTDVG	0.93937
mVG (mg)	DTSVG (mm)	0.8286
mVG (mg)	PP (mm)	0.9135
mVG (mg)	Sep (mm)	0.8872
Chol serique	FR	-0.79087
Chol serique	FE	-0.83437
Chol serique	A-velocity	0.21147
Chol serique	TDE	-0.0419
Chol serique	Sa lat (cm/s)	-0.4262
Chol serique	Aortic diameter	0.61847
Chol serique	DTDVG	0.67343
Chol serique	DTSVG (mm)	0.79507
Chol serique	PP (mm)	0.3249
Chol serique	Sep (mm)	0.20763
Chol serique	mVG (mg)	0.45913
TG serique	FR	-0.76193
TG serique	FE	-0.81737
TG serique	A-velocity	0.1198
TG serique	TDE	-0.11827
